pathway	pval	padj	log2err	ES	NES	size	leadingEdge
"1.3-beta-glucanosyltransferase activity"	0.915094339622642	1	0.0387166740042594	0.299798646267854	0.566966332040151	7	Afu6g12410 Afu2g05340
"2 iron. 2 sulfur cluster binding"	0.721311475409836	1	0.0762797180809272	-0.35422543742183	-0.784881590793382	7	Afu3g04300
"3'-5'-RNA exonuclease activity"	0.504926108374384	1	0.0899860794997137	-0.451735582615867	-0.956550594507866	6	Afu3g09880 Afu4g12250
"90S preribosome"	0.0018912200570175	0.0613700908502179	0.45505986738723	-0.820340364822175	-1.81768439675014	7	Afu5g03090 Afu3g04110 Afu3g11110 Afu6g13370 Afu6g04590 Afu3g06010 Afu3g13280
"ATP binding"	0.795366795366795	1	0.0897104652742981	-0.245884845169728	-0.777096574238551	27	Afu6g03580 Afu2g15130 Afu5g12990 Afu5g11810 Afu6g06870 Afu4g13440 Afu2g15760
"ATP export"	0.464183381088825	1	0.103958471559957	-0.431007660663949	-1.03102109591597	9	Afu5g06520
"ATP hydrolysis activity"	0.998846597462514	1	0.0180135486781383	0.169971257852311	0.468040199956349	60	Afu4g09440 Afu5g04170 Afu2g04620 Afu2g15960 Afu1g15270 Afu5g11130 Afu2g09960 Afu2g09290 Afu2g05510 Afu5g11010 Afu2g17110 Afu3g08000 Afu4g09360 Afu5g07050 Afu1g10410 Afu5g10550 Afu5g05570 Afu6g04380 Afu1g03100 Afu5g03600
"Arp2/3 complex-mediated actin nucleation"	0.568791946308725	1	0.0637845390312975	0.519054412064398	0.938323948775009	6	Afu5g01860 Afu1g13330 Afu5g11560 Afu3g10700 Afu6g02370 Afu6g06500
"Arp2/3 protein complex"	0.568791946308725	1	0.0637845390312975	0.519054412064398	0.938323948775009	6	Afu5g01860 Afu1g13330 Afu5g11560 Afu3g10700 Afu6g02370 Afu6g06500
"CMG complex"	0.729865771812081	1	0.0520570030732099	0.421236905169582	0.761493722125317	6	Afu4g11620 Afu6g08210 Afu4g12430
"COP9 signalosome"	0.888712241653418	1	0.0405756447890657	0.309926620464737	0.595655358671408	8	Afu3g06610 Afu8g04440 Afu2g16250 Afu3g06700 Afu8g04880 Afu5g07260 Afu4g12630 Afu8g05500
"COPII-coated ER to Golgi transport vesicle"	0.111475409836066	0.824534161490683	0.245041785430996	-0.53984519169948	-1.39574415225452	12	Afu6g06620 Afu4g03040 Afu7g04290 Afu2g10930 Afu6g07290 Afu2g16800
"DNA binding"	0.978723404255319	1	0.0835990603684159	-0.172271770712754	-0.559540897178126	30	Afu5g04220 Afu6g05300 Afu4g12470 Afu8g05570 Afu2g01260 Afu2g13090 Afu5g04190 Afu2g05540 Afu2g14080 Afu7g03860
"DNA damage checkpoint signaling"	0.0852459016393443	0.769658821382959	0.282013350011725	-0.565473081894899	-1.46200384748728	12	Afu1g07000 Afu4g04760 Afu5g06750 Afu1g04950 Afu2g03290 Afu4g12680 Afu6g13160
"DNA damage response"	0.994818652849741	1	0.0937465422491719	-0.164537078690348	-0.572242943893907	40	Afu1g07000 Afu4g04760 Afu3g14010 Afu2g05850 Afu4g12680 Afu6g10965 Afu6g13160 Afu2g16130 Afu1g09950 Afu8g05500 Afu4g11070 Afu6g10980 Afu4g06180 Afu5g07320 Afu1g13790 Afu5g13220 Afu7g03750 Afu1g07320 Afu6g11410 Afu5g12250 Afu3g14230 Afu1g10470 Afu8g04880 Afu1g13020 Afu2g12030 Afu5g12660 Afu3g06700 Afu2g14920 Afu7g05440 Afu5g06040 Afu4g06800 Afu2g12940 Afu4g07170 Afu3g12250 Afu7g01270 Afu4g10660 Afu5g10740 Afu5g03490
"DNA methylation"	0.431034482758621	1	0.0992333343771191	-0.48120478506996	-1.01895166321249	6	Afu4g13320 Afu5g01980 Afu2g03390 Afu6g07550 Afu1g13790
"DNA recombination"	0.929530201342282	1	0.0409883873374721	0.300794782963114	0.543763701763609	6	Afu2g03210 Afu2g10500 Afu3g09850 Afu2g08750 Afu5g12050 Afu4g06970
"DNA repair"	1	1	0.0228693972350018	0.148463458604596	0.381815777477487	39	Afu4g06830 Afu6g14210 Afu7g01280 Afu4g10540 Afu3g06000 Afu1g10410 Afu7g01870 Afu2g09560 Afu4g10660
"DNA replication initiation"	0.218579234972678	0.944871544484491	0.155241966228839	-0.574304449114651	-1.27252574773176	7	Afu2g17050 Afu5g02520 Afu2g09060
"DNA replication origin binding"	0.620578778135048	1	0.0934449219410994	-0.352634127696616	-0.886890372846568	11	Afu5g02520 Afu2g09060 Afu3g14010 Afu2g03290 Afu2g10730
"DNA replication preinitiation complex"	0.860294117647059	1	0.0384786917635432	0.310081514851508	0.631487527228167	10	Afu4g11620 Afu6g08210
"DNA strand elongation involved in DNA replication"	0.327868852459016	1	0.137250779610133	-0.42745261611062	-1.10515847594029	12	Afu2g09060 Afu3g14010 Afu2g12250 Afu2g12220 Afu5g01870 Afu3g08300 Afu1g04900
"DNA translocase activity"	0.625615763546798	1	0.0782955249944794	-0.407581008529496	-0.86305323517216	6	Afu3g05560 Afu4g13460 Afu3g02330
"DNA-binding transcription activator activity. RNA polymerase II-specific"	0.429508196721311	1	0.11776578836269	-0.397671305041482	-1.02816030792778	12	Afu6g12522 Afu3g06740 Afu2g01260
"DNA-binding transcription factor activity"	0.159533073929961	0.855677396533428	0.222056046145248	-0.405261154877726	-1.2572179217224	26	Afu2g11780 Afu1g13510 Afu2g13380 Afu5g06410 Afu6g12522 Afu6g04570 Afu1g11620 Afu6g05300 Afu4g12470 Afu8g02710 Afu8g05570
"DNA-binding transcription factor activity. RNA polymerase II-specific"	0.240566037735849	0.994441773825261	0.107554375265169	0.663309684998062	1.25442280607917	7	Afu5g00135 Afu1g15470
"DNA-directed 5'-3' RNA polymerase activity"	0.121059024335356	0.826366459627329	0.287805130535564	-0.583677971275335	-1.42836826552958	10	Afu6g04610 Afu2g15610 Afu1g14110 Afu2g05480
"DNA-directed DNA polymerase activity"	0.901990811638591	1	0.0381628909049257	0.292630720619713	0.575747242064899	9	Afu6g10560 Afu5g12640 Afu2g08840 Afu2g16600 Afu4g07970 Afu5g13020 Afu3g09560 Afu3g06780 Afu2g10730
"DNA-templated DNA replication"	0.501572327044025	1	0.0667426134241917	0.526798901840915	0.996259472208127	7	Afu4g11620 Afu5g03450 Afu6g08210 Afu4g12430 Afu3g11380
"DNA-templated transcription termination"	0.977832512315271	1	0.0562940749700968	-0.250379701043242	-0.530179293158039	6	Afu5g05680 Afu2g05480 Afu6g02060 Afu2g11000
"G protein-coupled receptor signaling pathway"	0.298029556650246	1	0.123257226381337	-0.555257324846316	-1.17575799787779	6	Afu1g12930 Afu1g13140 Afu6g06860
"G1/S transition of mitotic cell cycle"	0.672883787661406	1	0.0486034247259069	0.382481579847315	0.809679400387294	12	Afu6g07980 Afu2g14110 Afu5g05790 Afu6g10830 Afu5g12180 Afu5g06060
"G2/M transition of mitotic cell cycle"	0.868306801736614	1	0.0373029764832679	0.307303945958335	0.634124451977857	11	Afu6g07980 Afu5g09200 Afu5g03610 Afu8g05680 Afu6g02670 Afu5g06060 Afu2g07690 Afu6g13030
"GPI anchor biosynthetic process"	0.288590604026846	1	0.149207542435322	-0.407178556929436	-1.13193027361652	15	Afu6g05260 Afu5g06050 Afu4g03970 Afu1g14870 Afu2g01070 Afu2g05040 Afu3g09860
"GTP binding"	0.492537313432836	1	0.117249716749792	-0.337679956804402	-0.975485024999234	19	Afu4g07580 Afu1g12930 Afu2g04820 Afu1g06390 Afu3g06690 Afu2g05740 Afu6g06900 Afu4g08040 Afu6g13300 Afu5g03080 Afu5g11230 Afu6g10330
"GTPase activator activity"	0.309027777777778	1	0.14641623786055	-0.389324492644302	-1.11065201416177	17	Afu3g09900 Afu6g04000 Afu7g04300 Afu1g12680 Afu2g09830 Afu3g06280 Afu2g15050 Afu6g06400
"GTPase activity"	0.333333333333333	1	0.16823816568964	-0.316506616135454	-1.07316507048555	36	Afu5g08950 Afu1g06520 Afu5g13520 Afu2g13530 Afu4g11820 Afu1g12930 Afu3g06690 Afu8g02840 Afu1g13140 Afu3g10340 Afu5g03880 Afu2g05740 Afu6g06900 Afu3g14350
"Golgi apparatus"	0.941176470588235	1	0.11146266692298	-0.199116609283631	-0.737626409401519	55	Afu8g04940 Afu6g06620 Afu5g05740 Afu4g03040 Afu6g03950 Afu2g15240 Afu1g12310 Afu3g12700 Afu1g10980 Afu3g06280 Afu6g06900 Afu6g12400 Afu2g10930 Afu1g06030 Afu1g09500 Afu7g05930 Afu1g12150 Afu4g07110 Afu4g10020 Afu5g12530 Afu5g04360 Afu5g08580 Afu1g12080
"Golgi membrane"	0.570469798657718	1	0.100990587455923	-0.350750222550927	-0.929685717407779	13	Afu4g03040 Afu3g11750 Afu6g03950 Afu1g13210 Afu2g05860 Afu1g12150 Afu2g12050 Afu1g14240
"Golgi to plasma membrane protein transport"	0.842767295597484	1	0.0425023180036553	0.348197570153183	0.658496299541868	7	Afu5g03690 Afu2g10980 Afu3g09790 Afu5g07130
"Golgi to plasma membrane transport"	0.127329192546584	0.826366459627329	0.222056046145248	-0.549023984081452	-1.34356353069668	10	Afu5g01820 Afu6g02920 Afu3g11040
"Golgi to vacuole transport"	0.779053084648494	1	0.0419081748591401	0.333401305057096	0.705780834922124	12	Afu5g11360 Afu4g10710 Afu8g02780 Afu6g13020 Afu2g15820 Afu1g06680 Afu5g02510 Afu3g13770 Afu2g01570 Afu2g02610 Afu3g12800 Afu4g07110
"IgE binding"	0.931637519872814	1	0.0383995813369433	0.284793108890332	0.547350663743701	8	Afu5g11320 Afu6g02280 Afu2g03830 Afu6g06770
"Ino80 complex"	0.773638968481375	1	0.0751181635276302	-0.307949644733509	-0.736651825888608	9	Afu5g01950 Afu2g06110 Afu4g10730
"NuA4 histone acetyltransferase complex"	0.467213114754098	1	0.100633389423036	-0.451462467270048	-1.00033634533267	7	Afu5g02570 Afu2g06110 Afu4g09820
P-body	0.0868055555555556	0.769658821382959	0.287857117255149	-0.503342108040989	-1.43591768992276	17	Afu1g12000 Afu5g13360 Afu3g05430 Afu1g12390 Afu2g05580 Afu4g12750 Afu3g10220 Afu6g06325 Afu2g15210
"Prp19 complex"	0.0890748964233427	0.769658821382959	0.287805130535564	-0.550644088623835	-1.48941263765399	14	Afu2g08870 Afu5g11910 Afu2g05540 Afu4g03640 Afu8g03990 Afu6g07300 Afu5g13510 Afu4g09800 Afu5g03050 Afu2g03030
"RNA binding"	0.995049504950495	1	0.0911073131586733	-0.15400404663244	-0.530628509842519	38	Afu4g13330 Afu3g11110 Afu1g05110 Afu5g04240 Afu2g08870 Afu3g12280 Afu1g14310 Afu2g01900 Afu7g05310 Afu6g05280 Afu5g13370
